namn,isin,msid
BlackRock Global Funds - Next Generation Technology Fund A2,LU1861215975,F000011366
BlackRock Global Funds - Sustainable Energy Fund A2,LU0124384867,F0GBR04KF3
BlackRock Global Funds - World Gold Fund A2,LU0055631609,F0GBR04AR8
BlackRock Global Funds - World Technology Fund A2,LU0056508442,F0GBR04AMX
Carnegie All Cap A,SE0007704804,F00000WUUZ
Carnegie Strategifond A,SE0000429813,F0GBR04IDR
Carnegie Sverigefond A,SE0000429789,F0GBR04DXC
Didner & Gerge Small & Microcap,SE0005962347,F00000TWMS
East Capital Global Frontier Markets A SEK,LU1125674611,F00000V3BK
East Capital Ryssland,SE0000777708,F0GBR04KF9
Eastspring Investments - China Equity Fund - A,LU0307460666,F000000NXJ
Enter Select A,SE0002096545,F000000HCR
Enter Småbolagsfond A,SE0007413398,F00000W7DO
Fidelity Funds - Asian Special Situations Fund A-DIST-USD,LU0054237671,F0GBR04D0J
Goldman Sachs Emerging Markets Equity Portfolio Base Acc USD,LU0234572377,F0GBR063N5
Goldman Sachs Global Strategic Macro Bond Portfolio Other Currency Acc SEK-Hedged,LU1148127068,F00000V7IR
Goldman Sachs India Equity Portfolio Base Acc USD,LU0333810181,F000001KYA
Goldman Sachs Japan Equity Partners Portfolio Base Acc JPY,LU1217870671,F00000VWUZ
iShares Emerging Markets Equity Index Fund (LU) A2 USD,LU0836513183,F00000P5RU
iShares Japan Equity Index Fund (LU) A2 USD,LU0836512888,F00000OYN8
iShares Pacific ex Japan Equity Index Fund (LU) A2 USD,LU0836512961,F00000OYNL
JOHCM Global Select B EUR Inc,IE00B3DBRM10,F0000027QA
JPM Funds - Global Convertibles Fund (EUR) A (acc) - SEK (hedged),LU1163233973,F00000VD1F
JPMorgan Funds - ASEAN Equity Fund A (acc) - USD,LU0441851309,F0000040T7
JPMorgan Funds - Brazil Equity Fund A (acc) - USD,LU0318934451,F000000KVC
JPMorgan Funds - China Fund A (acc) - USD,LU0210526637,F0GBR05VWX
JPMorgan Funds - Emerging Markets Small Cap Fund A (acc) (perf) - USD,LU0318931358,F000000LQG
JPMorgan Funds - Global Bond Opportunities Fund A (acc) - SEK (hedged),LU0890597718,F00000PM21
JPMorgan Funds - Global Natural Resources Fund A (acc) - EUR,LU0208853274,F0GBR05S8J
JPMorgan Funds - Global Strategic Bond Fund A (perf) (acc) - SEK (hedged),LU0536148769,F00000JUI8
JPMorgan Funds - Latin America Equity Fund A (acc) - USD,LU0210535034,F0GBR05VWC
Kempen International Funds - Kempen (Lux) Global Small-Cap Fund Class A Acc,LU1078120166,F000010CDI
Lannebo Räntefond Kort,SE0000865768,F0GBR04L5E
Lannebo Småbolag,SE0000740698,F0GBR04F6T
Lazard Pan-European Small Cap Fund B Acc EUR,IE00BYQF5J06,F00000WMBE
Liontrust GF Sustainable Future Pan-European Growth Fund A1 Acc EUR,IE00BYWSV511,F000010IOY
Lyxor SEB Impact Fund M USD,IE00BDR0SF49,F000013HO7
Morgan Stanley Investment Funds - Asia Opportunity Fund A,LU1378878430,0P00017OEN
Morgan Stanley Investment Funds - Global Opportunity Fund A,LU0552385295,0P0000RZ2Q
Neuberger Berman Emerging Market Debt - Local Currency Fund USD A Accumulating Class,IE00B99K7H95,F00000Q4DE
Neuberger Berman Emerging Market Debt Blend Fund SEK A Accumulating,IE00BMN92P65,F00000WKXU
Ninety One Global Strategy Fund - Asia Pacific Equity Opportunities Fund A Acc USD,LU0499858602,F00000IQQW
Ninety One Global Strategy Fund - Asian Equity Fund A Acc USD,LU0345775950,F000000LIL
Norron Sicav Target R,LU0580531472,F00000LYDY
Partners Group Listed Investments SICAV - Listed Infrastructure EUR P Acc,LU0263855479,F00000068I
Polar Capital Funds PLC - Emerging Market Stars Fund X Acc,IE00BJ205H20,F000013EJS
RAM Equity Long/Short RC (SEK),LU1207429579,F00000W97U
RBC Funds (Lux) - Global Equity Focus Fund Class A USD Cap,LU1096671612,F00000UDXB
RobecoSAM Global Gender Equality Impact Equities D EUR,LU2145458969,F000015UKB
RobecoSAM Smart Energy Equities D EUR,LU2145461757,F000015UJY
RobecoSAM Sustainable Healthy Living Equities D USD,LU2146189589,F000015UKO
RobecoSAM Sustainable Water Equities D EUR,LU2146190835,F000015ULA
Schroder International Selection Fund Emerging Europe A Accumulation EUR,LU0106817157,F0GBR04AG4
Schroder International Selection Fund Global Climate Change Equity A Accumulation EUR,LU0302446645,F000000ES6
SEB Aktiesparfond,SE0000984130,F0GBR04M4N
SEB Asienfond ex-Japan,SE0000984148,F0GBR04M9I
SEB Asset Selection C SEK - Lux,LU0256625632,F0000006AS
SEB Bioteknikfond C EUR - Lux,LU0385485148,F0000024VH
SEB Blandfond Sverige,SE0000500407,F0GBR04M9K
SEB Corporate Bond C EUR - Lux,LU0133008952,F0GBR04MZN
SEB Corporate Bond C SEK - Lux,LU0133012632,F0GBR04L6U
SEB Dynamisk Aktiefond,SE0000775348,F0GBR04M51
SEB Dynamisk Räntefond SEK – Lux,LU0979738498,F00000SF7V
SEB Emerging Marketsfond,SE0000984155,F0GBR04M4T
SEB Europa Indexnära C EUR - Lux,LU0030164395,F0GBR06B68
SEB Europafond,SE0000984171,F0GBR04M4X
SEB Europafond Småbolag,SE0000433252,F0GBR04M4V
SEB Europe Equity Fund C EUR,LU0030166507,F0GBR04MXV
SEB European High Yield Fund SEK - Lux,LU0977257640,F00000QO10
SEB Fastighetsfond Norden A,SE0000433096,F0GBR04M4Z
SEB FRN Fond A,SE0012428050,F000013G5E
SEB Företagsobligationsfond A,SE0011644475,F000013E1W
SEB Global Aktiefond A,LU0030158231,F0GBR063Q1
SEB Global Indexnära C USD - Lux,LU0389150375,F0000026VJ
SEB Globalfond C USD - Lux,LU0030158231,F0GBR063Q1
SEB Globalfond Chans/Risk C EUR - Lux,LU0122113094,F0GBR04MVD
SEB Green Bond Fund C SEK - Lux,LU1116557668,F00000VFU9
SEB Korträntefond C EUR - Lux,SE0000984080,F0GBR04M63
SEB Korträntefond C USD - Lux,LU0011924932,F0GBR063PW
SEB Korträntefond SEK,SE0000984080,F0GBR04M63
SEB Likviditetsfond SEK,SE0000577470,F0GBR04M5F
SEB Listed Private Equity C EUR - Lux,LU0385668222,F000002XXQ
SEB Läkemedelsfond,SE0000984122,F0GBR04M5R
SEB Nordamerikafond Små och Medelstora Bolag,SE0000434268,F0GBR04M5X
SEB Nordamerikafond Småbolag,SE0000432601,F0GBR04M4D
SEB Nordenfond,SE0000984189,F0GBR04LXF
SEB Nordenfond Småbolag C EUR - Lux,LU0385664312,F000003VT7
SEB Nordic Equity Fund C SEK,LU1807523151,F00001184L
SEB Norway Focus Fund C SEK - Lux,LU1612341179,F00000YY87
SEB Obligationsfond Flexibel SEK,SE0000577454,F00000YY87
SEB Obligationsfond SEK,SE0000984072,F0GBR04M61
SEB PB Aktiv 25,SE0001117227,F0GBR06KUD
SEB PB Aktiv 50,SE0001117235,F0GBR06KRB
SEB PB Aktiv 75,SE0000819286,F0GBR06KRA
SEB Pensionsfond C SEK - Lux,LU0910517969,F00000Q05E
SEB Pensionsfond Extra C SEK - Lux,LU1575998445,F00000YYJP
SEB Pensionsfond Plus C SEK - Lux,LU1368697873,F00000X27A
SEB Realräntefond D SEK - Lux utd,LU0273119544,F000000AV7
SEB Strategi Balanserad C SEK - Lux,LU0394669880,F0000028G5
SEB Strategi Defensiv C SEK - Lux,LU0486619397,F00000GZUS
SEB Strategi Möjlighet C SEK - Lux,LU0394669963,F0000028G6
SEB Strategi Tillväxt C SEK - Lux,LU0394670037,F0000028G7
SEB Sustainable High Yield Fund C SEK – Lux,LU0030166507,F0GBR04MXV
SEB Sverige Expanderad,SE0000984197,F0GBR04M4L
SEB Sverige Indexfond B,SE0009773716,F00000YPJY
SEB Sverige Indexnära A,SE0002593673,F0000026V1
SEB Sverigefond,SE0000775298,F0GBR04LXD
SEB Sverigefond Småbolag,SE0000577389,F0GBR04M6H
SEB Sverigefond Småbolag C/R,SE0000434201,F0GBR04LXJ
SEB Sweden Equity Fund C (SEK),LU0047322432,F0GBR04LXY
SEB Swedish Value Fund,SE0001838004,F00000008W
SEB Teknologifond,SE0000984114,F0GBR04M6J
SEB US All Cap Fund C USD - Lux,LU0030166176,F0GBR06AA6
SEB USA Indexnära C USD - Lux,LU0268529194,F0000009KF
SEB Världenfond,SE0000691750,F0GBR04M6X
SEB WWF Nordenfond,SE0000691750,F0GBR04M6X
SEB Östeuropafond,SE0000433203,F0GBR04M6Z
SEB Östeuropafond Små och Medelstora Bolag EUR - Lux,LU0086828794,F0GBR04M47
Sector Healthcare Value Fund B USD,IE00BD4TRB36,F00000ZHQ8
SKY Harbor Global Funds - U.S. Short Duration Sustainable High Yield Fund Class F SEK Hdg Acc,LU0765420152,F00000ON9M
Spiltan Aktiefond Stabil,SE0001015348,F0GBR04HP3
T. Rowe Price Funds SICAV - US Large Cap Growth Equity Fund A USD,LU0174119429,F0GBR04TDL
TIN Ny Teknik A,SE0012193019,F000011XKU
UBS (Lux) Equity Fund - European Opportunity Sustainable (EUR) P-acc,LU0006391097,F0GBR04AO3
UBS (Lux) Equity SICAV - Asian Smaller Companies (USD) P-acc,LU0746413003,F00000O6TB
Vontobel Fund - Commodity H (hedged) SEK,LU0505242726,F00000JXME
Öhman Global Hållbar A,SE0000533945,F0GBR04LUZ
Öhman Räntefond Kompass Hållbar A,SE0006887196,F00000V1H0
Senast uppdaterad,2021-07-12